Field of study,2013-14 Total,2013-14 White,2013-14 Black,2013-14 Hispanic,2013-14 Asian,2013-14 Pacific Islander,2013-14 American Indian/Alaska Native,2013-14 Two or more races,2013-14 Non-resident alien,2014-15 Total,2014-15 White,2014-15 Black,2014-15 Hispanic,2014-15 Asian,2014-15 Pacific Islander,2014-15 American Indian/Alaska Native,2014-15 Two or more races,2014-15 Non- resident alien
"All fields, total",1870150,1218998,191437,202425,126495,5167,10784,45422,69422,1894934,1210523,192715,217718,129006,4990,10211,54201,75570
Agriculture and natural resources,35125,28676,1054,2263,1271,83,229,852,697,36277,29237,1082,2547,1320,93,252,990,756
Architecture and related services,9149,5751,512,1283,723,14,32,167,667,9090,5317,444,1369,837,17,48,276,782
"Area, ethnic, cultural, gender, and group studies",8275,3828,1174,1568,802,40,191,406,266,7782,3557,1135,1492,712,45,173,418,250
Biological and biomedical sciences,104657,63824,7722,10009,16454,272,495,3074,2807,109896,65596,8284,11548,16922,288,439,3924,2895
Business,358132,221466,39862,37414,25350,1109,1995,6858,24078,363799,222637,39189,39975,25629,1024,1832,8116,25397
"Communication, journalism, and related programs",87612,59954,9675,9189,3444,174,380,2355,2441,90650,59849,10254,10710,3458,189,338,2932,2920
Communications technologies,4991,3121,640,614,235,19,29,171,162,5135,3109,617,624,286,18,29,289,163
Computer and information sciences,55271,33803,5913,5091,5808,192,301,1346,2817,59581,35510,6166,5583,6781,187,302,1683,3369
Construction trades,268,198,9,41,11,2,1,5,1,247,186,4,43,5,0,2,3,4
Education,98838,78676,7668,7164,1942,226,724,1550,888,91623,71749,7260,7198,1901,180,682,1758,895
Engineering,92169,59542,3687,8131,10530,187,322,2193,7577,97858,61932,3937,9067,11110,146,316,2781,8569
Engineering technologies and engineering-related fields,16221,11298,1699,1430,684,35,146,269,660,16611,11335,1626,1515,687,48,151,358,891
English language and literature/letters,50464,36227,4082,5511,2122,89,260,1599,574,45847,32620,3675,5176,1746,78,225,1738,589
Family and consumer sciences/human sciences,24689,16376,3089,2731,1287,74,180,564,388,24584,15875,3191,2930,1306,40,153,682,407
"Foreign languages, literatures, and linguistics",20332,12932,910,4208,1090,38,75,639,440,19493,12075,907,4044,1107,30,68,778,484
Health professions and related programs,198777,134434,23755,17625,14709,771,1084,4018,2381,216228,145493,24915,20634,15781,787,1139,5076,2403
"Homeland security, law enforcement, and firefighting",62416,35366,12461,10569,1558,242,441,1337,442,62723,34516,12466,11497,1526,259,457,1583,419
Legal professions and studies,4513,2606,771,650,209,8,52,111,106,4420,2601,736,674,165,13,37,125,69
"Liberal arts and sciences, general studies, and humanities",45281,29114,6677,5431,1439,123,440,1215,842,43647,27824,6487,5264,1463,113,396,1250,850
Library science,127,108,11,5,0,0,1,2,0,99,79,10,4,0,1,1,4,0
Mathematics and statistics,20987,13006,1011,1758,2166,29,62,517,2438,21853,13069,1011,1940,2295,33,71,608,2826
Mechanic and repair technologies/technicians,318,238,16,20,10,0,3,9,22,380,269,29,28,14,0,2,13,25
Military technologies and applied sciences,185,119,38,16,2,2,0,5,3,276,201,34,27,2,1,2,4,5
Multi/interdisciplinary studies,48392,30390,5766,6585,2766,152,320,1295,1118,47556,29104,5629,6990,2718,133,319,1522,1141
"Parks, recreation, leisure, and fitness studies",46047,33008,4615,4437,1826,144,288,1038,691,49006,34202,5078,5021,2014,150,277,1480,784
Philosophy and religious studies,11999,8519,920,1180,630,34,64,386,266,11072,7754,831,1154,581,30,52,387,283
Physical sciences and science technologies,29307,20105,1563,2236,2965,50,166,820,1402,30038,20484,1509,2542,2911,51,139,915,1487
Precision production,37,26,0,4,3,0,1,1,2,48,31,2,3,7,0,1,0,4
Psychology,117312,71646,14259,17109,7410,282,687,3463,2456,117557,69895,14631,18340,7230,304,626,3984,2547
Public administration and social services,33483,18855,7450,4716,937,111,304,764,346,34363,19116,7627,4920,1019,107,285,905,384
Social sciences,142010,83667,15021,18945,10969,349,720,4410,7929,138906,79124,14677,19768,10553,366,657,4863,8898
History,31122,24157,1631,3077,927,50,173,844,263,28038,21478,1475,2926,875,31,138,831,284
Theology and religious vocations,9642,7733,763,499,225,17,49,131,225,9708,7782,785,502,211,19,48,141,220
Transportation and materials moving,4588,3376,322,358,175,27,34,122,174,4711,3441,318,368,171,19,23,144,227
Visual and performing arts,97414,66853,6691,10558,5816,222,535,2886,3853,95832,63476,6694,11295,5663,190,531,3640,4343
Other and not classified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
