Field of study,2013-14 Total,2013-14 White,2013-14 Black,2013-14 Hispanic,2013-14 Asian,2013-14 Pacific Islander,2013-14 American Indian/Alaska Native,2013-14 Two or more races,2013-14 Non-resident alien,2014-15 Total,2014-15 White,2014-15 Black,2014-15 Hispanic,2014-15 Asian,2014-15 Pacific Islander,2014-15 American Indian/Alaska Native,2014-15 Two or more races,2014-15 Non-resident alien
"All fields, total",1068245,682989,123147,122113,68881,2937,6613,27285,34280,1082265,679928,123440,130990,70125,2758,6145,31966,36913
Agriculture and natural resources,17871,14085,608,1294,766,54,121,538,405,18692,14513,612,1513,828,49,131,604,442
Architecture and related services,3975,2360,237,531,379,6,13,87,362,3974,2178,183,571,442,8,17,130,445
"Area, ethnic, cultural, gender, and group studies",5809,2681,805,1143,559,20,133,283,185,5489,2457,836,1131,479,22,108,285,171
Biological and biomedical sciences,61217,36503,5350,5965,9332,171,303,1903,1690,64794,38048,5670,6977,9619,144,264,2356,1716
Business,169664,97933,22920,19366,12515,595,1112,3447,11776,172489,98864,22562,20536,12704,511,996,3955,12361
"Communication, journalism, and related programs",56638,38223,6206,6183,2337,102,250,1633,1704,58799,38475,6433,7129,2347,118,217,2026,2054
Communications technologies,1572,963,208,145,119,6,7,62,62,1768,1083,198,185,123,7,11,93,68
Computer and information sciences,9951,5150,1592,908,1277,39,62,288,635,10741,5354,1579,1001,1542,50,67,365,783
Construction trades,25,11,1,9,2,0,0,1,1,18,9,0,3,1,0,1,0,4
Education,78481,62449,5901,5942,1550,170,597,1211,661,73150,57400,5583,5896,1507,141,534,1402,687
Engineering,18263,10813,963,1716,2474,36,82,530,1649,19603,11453,983,1954,2636,34,75,685,1783
Engineering technologies and engineering-related fields,1726,1072,266,176,76,4,21,32,79,1918,1185,300,192,94,3,15,54,75
English language and literature/letters,34633,24695,2979,3734,1459,52,167,1121,426,31794,22482,2643,3576,1222,51,153,1244,423
Family and consumer sciences/human sciences,21680,14526,2627,2416,1075,62,164,499,311,21572,14061,2735,2596,1078,33,140,596,333
"Foreign languages, literatures, and linguistics",14066,8773,661,3029,776,23,44,451,309,13426,8052,676,2989,791,15,47,521,335
Health professions and related programs,167845,114748,20307,14663,11425,600,919,3355,1828,182570,124375,21314,17059,12255,599,965,4231,1772
"Homeland security, law enforcement, and firefighting",29009,14127,7490,5612,553,105,217,691,214,29083,13697,7423,6027,576,93,239,835,193
Legal professions and studies,3057,1708,561,452,142,5,38,84,67,3072,1751,569,489,106,8,25,90,34
"Liberal arts and sciences, general studies, and humanities",28786,18105,4245,3833,948,79,270,834,472,27511,17295,3966,3657,956,65,247,822,503
Library science,113,96,10,4,0,0,1,2,0,83,66,7,4,0,1,1,4,0
Mathematics and statistics,9017,5558,521,786,849,15,27,218,1043,9391,5513,518,879,948,16,26,260,1231
Mechanic and repair technologies/technicians,21,13,0,4,2,0,1,0,1,25,16,2,3,0,0,1,1,2
Military technologies and applied sciences,24,8,8,4,1,1,0,2,0,51,37,8,3,0,0,0,1,2
Multi/interdisciplinary studies,32266,19908,3977,4723,1822,83,231,852,670,31626,19052,3784,5021,1770,78,195,1012,714
"Parks, recreation, leisure, and fitness studies",21330,15526,1952,1992,825,64,160,515,296,23058,16306,2175,2335,951,59,140,774,318
Philosophy and religious studies,4416,2982,403,431,286,13,33,154,114,4068,2728,360,435,237,11,17,164,116
Physical sciences and science technologies,11503,7318,869,873,1382,24,82,361,594,11560,7273,806,1073,1323,24,57,375,629
Precision production,16,11,0,1,2,0,1,0,1,15,6,2,2,4,0,0,0,1
Psychology,90006,54737,11393,13332,5311,212,513,2674,1834,90755,53916,11597,14329,5276,221,472,3017,1927
Public administration and social services,27567,15423,6235,3938,724,86,251,633,277,28218,15738,6335,4045,780,85,228,740,267
Social sciences,72519,39625,9120,11197,5682,162,388,2508,3837,70214,36753,8903,11441,5538,182,385,2666,4346
History,12359,9291,765,1329,384,26,76,374,114,11252,8355,698,1237,381,8,55,374,144
Theology and religious vocations,3048,2295,334,201,79,4,19,53,63,3096,2284,366,206,69,12,15,69,75
Transportation and materials moving,535,347,52,61,28,6,6,13,22,578,380,46,53,35,4,1,22,37
Visual and performing arts,59237,40926,3581,6120,3740,112,304,1876,2578,57812,38773,3568,6443,3507,106,300,2193,2922
Other and not classified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
