Field of study,2013-14 Total,2013-14 White,2013-14 Black,2013-14 Hispanic,2013-14 Asian,2013-14 Pacific Islander,2013-14 American Indian/Alaska Native,2013-14 Two or more races,2013-14 Non-resident alien,2014-15 Total,2014-15 White,2014-15 Black,2014-15 Hispanic,2014-15 Asian,2014-15 Pacific Islander,2014-15 American Indian/Alaska Native,2014-15 Two or more races,2014-15 Non-resident alien
"All fields, total",801905,536009,68290,80312,57614,2230,4171,18137,35142,812669,530595,69275,86728,58881,2232,4066,22235,38657
Agriculture and natural resources,17254,14591,446,969,505,29,108,314,292,17585,14724,470,1034,492,44,121,386,314
Architecture and related services,5174,3391,275,752,344,8,19,80,305,5116,3139,261,798,395,9,31,146,337
"Area, ethnic, cultural, gender, and group studies",2466,1147,369,425,243,20,58,123,81,2293,1100,299,361,233,23,65,133,79
Biological and biomedical sciences,43440,27321,2372,4044,7122,101,192,1171,1117,45102,27548,2614,4571,7303,144,175,1568,1179
Business,188468,123533,16942,18048,12835,514,883,3411,12302,191310,123773,16627,19439,12925,513,836,4161,13036
"Communication, journalism, and related programs",30974,21731,3469,3006,1107,72,130,722,737,31851,21374,3821,3581,1111,71,121,906,866
Communications technologies,3419,2158,432,469,116,13,22,109,100,3367,2026,419,439,163,11,18,196,95
Computer and information sciences,45320,28653,4321,4183,4531,153,239,1058,2182,48840,30156,4587,4582,5239,137,235,1318,2586
Construction trades,243,187,8,32,9,2,1,4,0,229,177,4,40,4,0,1,3,0
Education,20357,16227,1767,1222,392,56,127,339,227,18473,14349,1677,1302,394,39,148,356,208
Engineering,73906,48729,2724,6415,8056,151,240,1663,5928,78255,50479,2954,7113,8474,112,241,2096,6786
Engineering technologies and engineering-related fields,14495,10226,1433,1254,608,31,125,237,581,14693,10150,1326,1323,593,45,136,304,816
English language and literature/letters,15831,11532,1103,1777,663,37,93,478,148,14053,10138,1032,1600,524,27,72,494,166
Family and consumer sciences/human sciences,3009,1850,462,315,212,12,16,65,77,3012,1814,456,334,228,7,13,86,74
"Foreign languages, literatures, and linguistics",6266,4159,249,1179,314,15,31,188,131,6067,4023,231,1055,316,15,21,257,149
Health professions and related programs,30932,19686,3448,2962,3284,171,165,663,553,33658,21118,3601,3575,3526,188,174,845,631
"Homeland security, law enforcement, and firefighting",33407,21239,4971,4957,1005,137,224,646,228,33640,20819,5043,5470,950,166,218,748,226
Legal professions and studies,1456,898,210,198,67,3,14,27,39,1348,850,167,185,59,5,12,35,35
"Liberal arts and sciences, general studies, and humanities",16495,11009,2432,1598,491,44,170,381,370,16136,10529,2521,1607,507,48,149,428,347
Library science,14,12,1,1,0,0,0,0,0,16,13,3,0,0,0,0,0,0
Mathematics and statistics,11970,7448,490,972,1317,14,35,299,1395,12462,7556,493,1061,1347,17,45,348,1595
Mechanic and repair technologies/technicians,297,225,16,16,8,0,2,9,21,355,253,27,25,14,0,1,12,23
Military technologies and applied sciences,161,111,30,12,1,1,0,3,3,225,164,26,24,2,1,2,3,3
Multi/interdisciplinary studies,16126,10482,1789,1862,944,69,89,443,448,15930,10052,1845,1969,948,55,124,510,427
"Parks, recreation, leisure, and fitness studies",24717,17482,2663,2445,1001,80,128,523,395,25948,17896,2903,2686,1063,91,137,706,466
Philosophy and religious studies,7583,5537,517,749,344,21,31,232,152,7004,5026,471,719,344,19,35,223,167
Physical sciences and science technologies,17804,12787,694,1363,1583,26,84,459,808,18478,13211,703,1469,1588,27,82,540,858
Precision production,21,15,0,3,1,0,0,1,1,33,25,0,1,3,0,1,0,3
Psychology,27306,16909,2866,3777,2099,70,174,789,622,26802,15979,3034,4011,1954,83,154,967,620
Public administration and social services,5916,3432,1215,778,213,25,53,131,69,6145,3378,1292,875,239,22,57,165,117
Social sciences,69491,44042,5901,7748,5287,187,332,1902,4092,68692,42371,5774,8327,5015,184,272,2197,4552
History,18763,14866,866,1748,543,24,97,470,149,16786,13123,777,1689,494,23,83,457,140
Theology and religious vocations,6594,5438,429,298,146,13,30,78,162,6612,5498,419,296,142,7,33,72,145
Transportation and materials moving,4053,3029,270,297,147,21,28,109,152,4133,3061,272,315,136,15,22,122,190
Visual and performing arts,38177,25927,3110,4438,2076,110,231,1010,1275,38020,24703,3126,4852,2156,84,231,1447,1421
Other and not classified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
